,Date,A,AAP,AAPL,ABT,ACN,ADBE,ADM,ADS,AEE,AES,AFL,AGN,AIG,AIV,AKAM,ALL,AMAT,AMZN,APH,APTV,BBY,CAH,CCL,COF,COST,CPRI,DVN,GOOG,KMX,MMM,MO,T,XRAY,GSPC,RF
0,2011-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2011-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2012-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2012-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2012-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2012-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2012-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2012-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2012-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2012-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2012-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2012-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2012-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2012-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2012-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2012-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2012-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2012-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2012-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2012-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2012-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2012-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
