Date,ALL,AMZN,ADBE,AAP,AKAM,ADS,APH,AAPL,XRAY,GOOG,AES,AGN,COST,T,A,CAH,ABT,AFL,AIG,AMAT,ADM,BBY,CCL,DVN,MMM,MO,COF,AIV,KMX,AEE,ACN,APTV,CPRI,ARNC
12/28/2009,15461.3,55629.6,19557.2,3872.3,4369.3,3379.5,7405.2,176019.6,5234.6,189226.4,9185.9,4615.5,25670.2,161215.3,10146.3,11657.1,82503,21598.2,18785.1,18267.9,19623.9,16453.3,25792.8,30891.6,57323.4,40719,17772,1804.2,5179.7,6633.8,26163.4,7070.4,5199.1,-
1/4/2010,15461.3,55629.6,19557.2,3872.3,4369.3,3379.5,7405.2,176019.6,5234.6,189226.4,9185.9,4615.5,25670.2,161215.3,10146.3,11657.1,82503,21598.2,18785.1,18267.9,19623.9,16453.3,25792.8,30891.6,57323.4,40719,17772,1804.2,5179.7,6633.8,26163.4,7070.4,5199.1,-
1/11/2010,15461.3,55629.6,19557.2,3872.3,4369.3,3379.5,7405.2,176019.6,5234.6,189226.4,9185.9,4615.5,25670.2,161215.3,10146.3,11657.1,82503,21598.2,18785.1,18267.9,19623.9,16453.3,25792.8,30891.6,57323.4,40719,17772,1804.2,5179.7,6633.8,26163.4,7070.4,5199.1,-
1/18/2010,15461.3,55629.6,19557.2,3872.3,4369.3,3379.5,7405.2,176019.6,5234.6,189226.4,9185.9,4615.5,25670.2,161215.3,10146.3,11657.1,82503,21598.2,18785.1,18267.9,19623.9,16453.3,25792.8,30891.6,57323.4,40719,17772,1804.2,5179.7,6633.8,26163.4,7070.4,5199.1,-
1/25/2010,15461.3,55629.6,19557.2,3872.3,4369.3,3379.5,7405.2,176019.6,5234.6,189226.4,9185.9,4615.5,25670.2,161215.3,10146.3,11657.1,82503,21598.2,18785.1,18267.9,19623.9,16453.3,25792.8,30891.6,57323.4,40719,17772,1804.2,5179.7,6633.8,26163.4,7070.4,5199.1,-
2/1/2010,15461.3,55629.6,19557.2,3872.3,4369.3,3379.5,7405.2,176019.6,5234.6,189226.4,9185.9,4615.5,25670.2,161215.3,10146.3,11657.1,82503,21598.2,18785.1,18267.9,19623.9,16453.3,25792.8,30891.6,57323.4,40719,17772,1804.2,5179.7,6633.8,26163.4,7070.4,5199.1,-
2/8/2010,15461.3,55629.6,19557.2,3872.3,4369.3,3379.5,7405.2,176019.6,5234.6,189226.4,9185.9,4615.5,25670.2,161215.3,10146.3,11657.1,82503,21598.2,18785.1,18267.9,19623.9,16453.3,25792.8,30891.6,57323.4,40719,17772,1804.2,5179.7,6633.8,26163.4,7070.4,5199.1,-
2/15/2010,15461.3,55629.6,19557.2,3872.3,4369.3,3379.5,7405.2,176019.6,5234.6,189226.4,9185.9,4615.5,25670.2,161215.3,10146.3,11657.1,82503,21598.2,18785.1,18267.9,19623.9,16453.3,25792.8,30891.6,57323.4,40719,17772,1804.2,5179.7,6633.8,26163.4,7070.4,5199.1,-
2/22/2010,15461.3,55629.6,19557.2,3872.3,4369.3,3379.5,7405.2,176019.6,5234.6,189226.4,9185.9,4615.5,25670.2,161215.3,10146.3,11657.1,82503,21598.2,18785.1,18267.9,19623.9,16453.3,25792.8,30891.6,57323.4,40719,17772,1804.2,5179.7,6633.8,26163.4,7070.4,5199.1,-
3/1/2010,15461.3,55629.6,19557.2,3872.3,4369.3,3379.5,7405.2,176019.6,5234.6,189226.4,9185.9,4615.5,25670.2,161215.3,10146.3,11657.1,82503,21598.2,18785.1,18267.9,19623.9,16453.3,25792.8,30891.6,57323.4,40719,17772,1804.2,5179.7,6633.8,26163.4,7070.4,5199.1,-
3/8/2010,15461.3,55629.6,19557.2,3872.3,4369.3,3379.5,7405.2,176019.6,5234.6,189226.4,9185.9,4615.5,25670.2,161215.3,10146.3,11657.1,82503,21598.2,18785.1,18267.9,19623.9,16453.3,25792.8,30891.6,57323.4,40719,17772,1804.2,5179.7,6633.8,26163.4,7070.4,5199.1,-
3/15/2010,15461.3,55629.6,19557.2,3872.3,4369.3,3379.5,7405.2,176019.6,5234.6,189226.4,9185.9,4615.5,25670.2,161215.3,10146.3,11657.1,82503,21598.2,18785.1,18267.9,19623.9,16453.3,25792.8,30891.6,57323.4,40719,17772,1804.2,5179.7,6633.8,26163.4,7070.4,5199.1,-
3/22/2010,15461.3,55629.6,19557.2,3872.3,4369.3,3379.5,7405.2,176019.6,5234.6,189226.4,9185.9,4615.5,25670.2,161215.3,10146.3,11657.1,82503,21598.2,18785.1,18267.9,19623.9,16453.3,25792.8,30891.6,57323.4,40719,17772,1804.2,5179.7,6633.8,26163.4,7070.4,5199.1,-
3/29/2010,17336.6,60356.1,18589.8,3867.6,5406.9,3362.9,7308.7,213096.7,5133.4,180578.3,7366.1,5199.1,26302.7,152648.7,11972.7,13023.4,81793.3,25470.2,22803.9,18090.5,18570.9,17783.1,31026.4,28787.3,59495.5,42600.1,18898.4,2162.4,5598.2,6194.1,26722.8,7070.4,5199.1,-
4/5/2010,17336.6,60356.1,18589.8,3867.6,5406.9,3362.9,7308.7,213096.7,5133.4,180578.3,7366.1,5199.1,26302.7,152648.7,11972.7,13023.4,81793.3,25470.2,22803.9,18090.5,18570.9,17783.1,31026.4,28787.3,59495.5,42600.1,18898.4,2162.4,5598.2,6194.1,26722.8,7070.4,5199.1,-
4/12/2010,17336.6,60356.1,18589.8,3867.6,5406.9,3362.9,7308.7,213096.7,5133.4,180578.3,7366.1,5199.1,26302.7,152648.7,11972.7,13023.4,81793.3,25470.2,22803.9,18090.5,18570.9,17783.1,31026.4,28787.3,59495.5,42600.1,18898.4,2162.4,5598.2,6194.1,26722.8,7070.4,5199.1,-
4/19/2010,17336.6,60356.1,18589.8,3867.6,5406.9,3362.9,7308.7,213096.7,5133.4,180578.3,7366.1,5199.1,26302.7,152648.7,11972.7,13023.4,81793.3,25470.2,22803.9,18090.5,18570.9,17783.1,31026.4,28787.3,59495.5,42600.1,18898.4,2162.4,5598.2,6194.1,26722.8,7070.4,5199.1,-
4/26/2010,17336.6,60356.1,18589.8,3867.6,5406.9,3362.9,7308.7,213096.7,5133.4,180578.3,7366.1,5199.1,26302.7,152648.7,11972.7,13023.4,81793.3,25470.2,22803.9,18090.5,18570.9,17783.1,31026.4,28787.3,59495.5,42600.1,18898.4,2162.4,5598.2,6194.1,26722.8,7070.4,5199.1,-
5/3/2010,17336.6,60356.1,18589.8,3867.6,5406.9,3362.9,7308.7,213096.7,5133.4,180578.3,7366.1,5199.1,26302.7,152648.7,11972.7,13023.4,81793.3,25470.2,22803.9,18090.5,18570.9,17783.1,31026.4,28787.3,59495.5,42600.1,18898.4,2162.4,5598.2,6194.1,26722.8,7070.4,5199.1,-
5/10/2010,17336.6,60356.1,18589.8,3867.6,5406.9,3362.9,7308.7,213096.7,5133.4,180578.3,7366.1,5199.1,26302.7,152648.7,11972.7,13023.4,81793.3,25470.2,22803.9,18090.5,18570.9,17783.1,31026.4,28787.3,59495.5,42600.1,18898.4,2162.4,5598.2,6194.1,26722.8,7070.4,5199.1,-
5/17/2010,17336.6,60356.1,18589.8,3867.6,5406.9,3362.9,7308.7,213096.7,5133.4,180578.3,7366.1,5199.1,26302.7,152648.7,11972.7,13023.4,81793.3,25470.2,22803.9,18090.5,18570.9,17783.1,31026.4,28787.3,59495.5,42600.1,18898.4,2162.4,5598.2,6194.1,26722.8,7070.4,5199.1,-
5/24/2010,17336.6,60356.1,18589.8,3867.6,5406.9,3362.9,7308.7,213096.7,5133.4,180578.3,7366.1,5199.1,26302.7,152648.7,11972.7,13023.4,81793.3,25470.2,22803.9,18090.5,18570.9,17783.1,31026.4,28787.3,59495.5,42600.1,18898.4,2162.4,5598.2,6194.1,26722.8,7070.4,5199.1,-
5/31/2010,17336.6,60356.1,18589.8,3867.6,5406.9,3362.9,7308.7,213096.7,5133.4,180578.3,7366.1,5199.1,26302.7,152648.7,11972.7,13023.4,81793.3,25470.2,22803.9,18090.5,18570.9,17783.1,31026.4,28787.3,59495.5,42600.1,18898.4,2162.4,5598.2,6194.1,26722.8,7070.4,5199.1,-
6/7/2010,17336.6,60356.1,18589.8,3867.6,5406.9,3362.9,7308.7,213096.7,5133.4,180578.3,7366.1,5199.1,26302.7,152648.7,11972.7,13023.4,81793.3,25470.2,22803.9,18090.5,18570.9,17783.1,31026.4,28787.3,59495.5,42600.1,18898.4,2162.4,5598.2,6194.1,26722.8,7070.4,5199.1,-
6/14/2010,17336.6,60356.1,18589.8,3867.6,5406.9,3362.9,7308.7,213096.7,5133.4,180578.3,7366.1,5199.1,26302.7,152648.7,11972.7,13023.4,81793.3,25470.2,22803.9,18090.5,18570.9,17783.1,31026.4,28787.3,59495.5,42600.1,18898.4,2162.4,5598.2,6194.1,26722.8,7070.4,5199.1,-
6/21/2010,17336.6,60356.1,18589.8,3867.6,5406.9,3362.9,7308.7,213096.7,5133.4,180578.3,7366.1,5199.1,26302.7,152648.7,11972.7,13023.4,81793.3,25470.2,22803.9,18090.5,18570.9,17783.1,31026.4,28787.3,59495.5,42600.1,18898.4,2162.4,5598.2,6194.1,26722.8,7070.4,5199.1,-
6/28/2010,15454,48694.1,13913.4,4386.6,6982.9,3175.4,6817.1,228876.8,4377.4,141957.2,7349.3,5053.6,24077.6,142938.7,9895.4,12169.2,72208,20036.3,23028.9,16142.6,16603.5,14223.3,24530.5,27225.1,56325.2,41734.6,18398.4,2263.1,4450.6,5664.1,24630.5,7070.4,5199.1,-
7/5/2010,15454,48694.1,13913.4,4386.6,6982.9,3175.4,6817.1,228876.8,4377.4,141957.2,7349.3,5053.6,24077.6,142938.7,9895.4,12169.2,72208,20036.3,23028.9,16142.6,16603.5,14223.3,24530.5,27225.1,56325.2,41734.6,18398.4,2263.1,4450.6,5664.1,24630.5,7070.4,5199.1,-
7/12/2010,15454,48694.1,13913.4,4386.6,6982.9,3175.4,6817.1,228876.8,4377.4,141957.2,7349.3,5053.6,24077.6,142938.7,9895.4,12169.2,72208,20036.3,23028.9,16142.6,16603.5,14223.3,24530.5,27225.1,56325.2,41734.6,18398.4,2263.1,4450.6,5664.1,24630.5,7070.4,5199.1,-
7/19/2010,15454,48694.1,13913.4,4386.6,6982.9,3175.4,6817.1,228876.8,4377.4,141957.2,7349.3,5053.6,24077.6,142938.7,9895.4,12169.2,72208,20036.3,23028.9,16142.6,16603.5,14223.3,24530.5,27225.1,56325.2,41734.6,18398.4,2263.1,4450.6,5664.1,24630.5,7070.4,5199.1,-
7/26/2010,15454,48694.1,13913.4,4386.6,6982.9,3175.4,6817.1,228876.8,4377.4,141957.2,7349.3,5053.6,24077.6,142938.7,9895.4,12169.2,72208,20036.3,23028.9,16142.6,16603.5,14223.3,24530.5,27225.1,56325.2,41734.6,18398.4,2263.1,4450.6,5664.1,24630.5,7070.4,5199.1,-
8/2/2010,15454,48694.1,13913.4,4386.6,6982.9,3175.4,6817.1,228876.8,4377.4,141957.2,7349.3,5053.6,24077.6,142938.7,9895.4,12169.2,72208,20036.3,23028.9,16142.6,16603.5,14223.3,24530.5,27225.1,56325.2,41734.6,18398.4,2263.1,4450.6,5664.1,24630.5,7070.4,5199.1,-
8/9/2010,15454,48694.1,13913.4,4386.6,6982.9,3175.4,6817.1,228876.8,4377.4,141957.2,7349.3,5053.6,24077.6,142938.7,9895.4,12169.2,72208,20036.3,23028.9,16142.6,16603.5,14223.3,24530.5,27225.1,56325.2,41734.6,18398.4,2263.1,4450.6,5664.1,24630.5,7070.4,5199.1,-
8/16/2010,15454,48694.1,13913.4,4386.6,6982.9,3175.4,6817.1,228876.8,4377.4,141957.2,7349.3,5053.6,24077.6,142938.7,9895.4,12169.2,72208,20036.3,23028.9,16142.6,16603.5,14223.3,24530.5,27225.1,56325.2,41734.6,18398.4,2263.1,4450.6,5664.1,24630.5,7070.4,5199.1,-
8/23/2010,15454,48694.1,13913.4,4386.6,6982.9,3175.4,6817.1,228876.8,4377.4,141957.2,7349.3,5053.6,24077.6,142938.7,9895.4,12169.2,72208,20036.3,23028.9,16142.6,16603.5,14223.3,24530.5,27225.1,56325.2,41734.6,18398.4,2263.1,4450.6,5664.1,24630.5,7070.4,5199.1,-
8/30/2010,15454,48694.1,13913.4,4386.6,6982.9,3175.4,6817.1,228876.8,4377.4,141957.2,7349.3,5053.6,24077.6,142938.7,9895.4,12169.2,72208,20036.3,23028.9,16142.6,16603.5,14223.3,24530.5,27225.1,56325.2,41734.6,18398.4,2263.1,4450.6,5664.1,24630.5,7070.4,5199.1,-
9/6/2010,15454,48694.1,13913.4,4386.6,6982.9,3175.4,6817.1,228876.8,4377.4,141957.2,7349.3,5053.6,24077.6,142938.7,9895.4,12169.2,72208,20036.3,23028.9,16142.6,16603.5,14223.3,24530.5,27225.1,56325.2,41734.6,18398.4,2263.1,4450.6,5664.1,24630.5,7070.4,5199.1,-
9/13/2010,15454,48694.1,13913.4,4386.6,6982.9,3175.4,6817.1,228876.8,4377.4,141957.2,7349.3,5053.6,24077.6,142938.7,9895.4,12169.2,72208,20036.3,23028.9,16142.6,16603.5,14223.3,24530.5,27225.1,56325.2,41734.6,18398.4,2263.1,4450.6,5664.1,24630.5,7070.4,5199.1,-
9/20/2010,15454,48694.1,13913.4,4386.6,6982.9,3175.4,6817.1,228876.8,4377.4,141957.2,7349.3,5053.6,24077.6,142938.7,9895.4,12169.2,72208,20036.3,23028.9,16142.6,16603.5,14223.3,24530.5,27225.1,56325.2,41734.6,18398.4,2263.1,4450.6,5664.1,24630.5,7070.4,5199.1,-
9/27/2010,16976.1,70335.4,13420.5,4944.7,9113,3434.8,8509,259223.5,4566,167572.5,9012.1,5283.5,28319.6,168997.4,11558.4,11524.9,80660.1,24346.1,26155.6,15605.3,20386.8,17023.3,30530.1,28161.9,61835.8,50056.9,18065.4,2502.2,6233,6793.9,27077.6,7070.4,5199.1,-
10/4/2010,16976.1,70335.4,13420.5,4944.7,9113,3434.8,8509,259223.5,4566,167572.5,9012.1,5283.5,28319.6,168997.4,11558.4,11524.9,80660.1,24346.1,26155.6,15605.3,20386.8,17023.3,30530.1,28161.9,61835.8,50056.9,18065.4,2502.2,6233,6793.9,27077.6,7070.4,5199.1,-
10/11/2010,16976.1,70335.4,13420.5,4944.7,9113,3434.8,8509,259223.5,4566,167572.5,9012.1,5283.5,28319.6,168997.4,11558.4,11524.9,80660.1,24346.1,26155.6,15605.3,20386.8,17023.3,30530.1,28161.9,61835.8,50056.9,18065.4,2502.2,6233,6793.9,27077.6,7070.4,5199.1,-
10/18/2010,16976.1,70335.4,13420.5,4944.7,9113,3434.8,8509,259223.5,4566,167572.5,9012.1,5283.5,28319.6,168997.4,11558.4,11524.9,80660.1,24346.1,26155.6,15605.3,20386.8,17023.3,30530.1,28161.9,61835.8,50056.9,18065.4,2502.2,6233,6793.9,27077.6,7070.4,5199.1,-
10/25/2010,16976.1,70335.4,13420.5,4944.7,9113,3434.8,8509,259223.5,4566,167572.5,9012.1,5283.5,28319.6,168997.4,11558.4,11524.9,80660.1,24346.1,26155.6,15605.3,20386.8,17023.3,30530.1,28161.9,61835.8,50056.9,18065.4,2502.2,6233,6793.9,27077.6,7070.4,5199.1,-
11/1/2010,16976.1,70335.4,13420.5,4944.7,9113,3434.8,8509,259223.5,4566,167572.5,9012.1,5283.5,28319.6,168997.4,11558.4,11524.9,80660.1,24346.1,26155.6,15605.3,20386.8,17023.3,30530.1,28161.9,61835.8,50056.9,18065.4,2502.2,6233,6793.9,27077.6,7070.4,5199.1,-
11/8/2010,16976.1,70335.4,13420.5,4944.7,9113,3434.8,8509,259223.5,4566,167572.5,9012.1,5283.5,28319.6,168997.4,11558.4,11524.9,80660.1,24346.1,26155.6,15605.3,20386.8,17023.3,30530.1,28161.9,61835.8,50056.9,18065.4,2502.2,6233,6793.9,27077.6,7070.4,5199.1,-
11/15/2010,16976.1,70335.4,13420.5,4944.7,9113,3434.8,8509,259223.5,4566,167572.5,9012.1,5283.5,28319.6,168997.4,11558.4,11524.9,80660.1,24346.1,26155.6,15605.3,20386.8,17023.3,30530.1,28161.9,61835.8,50056.9,18065.4,2502.2,6233,6793.9,27077.6,7070.4,5199.1,-
11/22/2010,16976.1,70335.4,13420.5,4944.7,9113,3434.8,8509,259223.5,4566,167572.5,9012.1,5283.5,28319.6,168997.4,11558.4,11524.9,80660.1,24346.1,26155.6,15605.3,20386.8,17023.3,30530.1,28161.9,61835.8,50056.9,18065.4,2502.2,6233,6793.9,27077.6,7070.4,5199.1,-
11/29/2010,16976.1,70335.4,13420.5,4944.7,9113,3434.8,8509,259223.5,4566,167572.5,9012.1,5283.5,28319.6,168997.4,11558.4,11524.9,80660.1,24346.1,26155.6,15605.3,20386.8,17023.3,30530.1,28161.9,61835.8,50056.9,18065.4,2502.2,6233,6793.9,27077.6,7070.4,5199.1,-
12/6/2010,16976.1,70335.4,13420.5,4944.7,9113,3434.8,8509,259223.5,4566,167572.5,9012.1,5283.5,28319.6,168997.4,11558.4,11524.9,80660.1,24346.1,26155.6,15605.3,20386.8,17023.3,30530.1,28161.9,61835.8,50056.9,18065.4,2502.2,6233,6793.9,27077.6,7070.4,5199.1,-
12/13/2010,16976.1,70335.4,13420.5,4944.7,9113,3434.8,8509,259223.5,4566,167572.5,9012.1,5283.5,28319.6,168997.4,11558.4,11524.9,80660.1,24346.1,26155.6,15605.3,20386.8,17023.3,30530.1,28161.9,61835.8,50056.9,18065.4,2502.2,6233,6793.9,27077.6,7070.4,5199.1,-
12/20/2010,16976.1,70335.4,13420.5,4944.7,9113,3434.8,8509,259223.5,4566,167572.5,9012.1,5283.5,28319.6,168997.4,11558.4,11524.9,80660.1,24346.1,26155.6,15605.3,20386.8,17023.3,30530.1,28161.9,61835.8,50056.9,18065.4,2502.2,6233,6793.9,27077.6,7070.4,5199.1,-
12/27/2010,17157.3,80790.6,15658.3,5560.1,8579.2,3693.2,9216,295886.6,4855.5,189936.8,9599.1,6844.3,31521.5,173635.8,14401.2,13368.7,74060,26593.3,39943.1,18654,19217.9,13642,36715.2,33900.6,61692.3,51402.3,19446.8,3038.1,7168.4,6760.8,31064,7070.4,5199.1,-
1/3/2011,17157.3,80790.6,15658.3,5560.1,8579.2,3693.2,9216,295886.6,4855.5,189936.8,9599.1,6844.3,31521.5,173635.8,14401.2,13368.7,74060,26593.3,39943.1,18654,19217.9,13642,36715.2,33900.6,61692.3,51402.3,19446.8,3038.1,7168.4,6760.8,31064,7070.4,5199.1,-
1/10/2011,17157.3,80790.6,15658.3,5560.1,8579.2,3693.2,9216,295886.6,4855.5,189936.8,9599.1,6844.3,31521.5,173635.8,14401.2,13368.7,74060,26593.3,39943.1,18654,19217.9,13642,36715.2,33900.6,61692.3,51402.3,19446.8,3038.1,7168.4,6760.8,31064,7070.4,5199.1,-
1/17/2011,17157.3,80790.6,15658.3,5560.1,8579.2,3693.2,9216,295886.6,4855.5,189936.8,9599.1,6844.3,31521.5,173635.8,14401.2,13368.7,74060,26593.3,39943.1,18654,19217.9,13642,36715.2,33900.6,61692.3,51402.3,19446.8,3038.1,7168.4,6760.8,31064,7070.4,5199.1,-
1/24/2011,17157.3,80790.6,15658.3,5560.1,8579.2,3693.2,9216,295886.6,4855.5,189936.8,9599.1,6844.3,31521.5,173635.8,14401.2,13368.7,74060,26593.3,39943.1,18654,19217.9,13642,36715.2,33900.6,61692.3,51402.3,19446.8,3038.1,7168.4,6760.8,31064,7070.4,5199.1,-
1/31/2011,17157.3,80790.6,15658.3,5560.1,8579.2,3693.2,9216,295886.6,4855.5,189936.8,9599.1,6844.3,31521.5,173635.8,14401.2,13368.7,74060,26593.3,39943.1,18654,19217.9,13642,36715.2,33900.6,61692.3,51402.3,19446.8,3038.1,7168.4,6760.8,31064,7070.4,5199.1,-
2/7/2011,17157.3,80790.6,15658.3,5560.1,8579.2,3693.2,9216,295886.6,4855.5,189936.8,9599.1,6844.3,31521.5,173635.8,14401.2,13368.7,74060,26593.3,39943.1,18654,19217.9,13642,36715.2,33900.6,61692.3,51402.3,19446.8,3038.1,7168.4,6760.8,31064,7070.4,5199.1,-
2/14/2011,17157.3,80790.6,15658.3,5560.1,8579.2,3693.2,9216,295886.6,4855.5,189936.8,9599.1,6844.3,31521.5,173635.8,14401.2,13368.7,74060,26593.3,39943.1,18654,19217.9,13642,36715.2,33900.6,61692.3,51402.3,19446.8,3038.1,7168.4,6760.8,31064,7070.4,5199.1,-
2/21/2011,17157.3,80790.6,15658.3,5560.1,8579.2,3693.2,9216,295886.6,4855.5,189936.8,9599.1,6844.3,31521.5,173635.8,14401.2,13368.7,74060,26593.3,39943.1,18654,19217.9,13642,36715.2,33900.6,61692.3,51402.3,19446.8,3038.1,7168.4,6760.8,31064,7070.4,5199.1,-
