,Mkt-RF,SMB,HML,RF,,,
2009-12-24,2.35,1.58,0.08,0.001,,,
2009-12-31,-1.01,-0.25,-0.14,0.001,,,
2010-1-8,2.89,0.26,3.9,0.001,,,
2010-1-15,-0.91,0.11,-1.51,0.001,,,
2010-1-22,-3.57,0.84,-1.86,0.001,,,
2010-1-29,-1.7,-0.75,0.08,0.001,,,
2010-2-5,-0.81,-0.71,-0.17,0,,,
2010-2-12,1.41,2.32,0.78,0,,,
2010-2-19,3.18,0.02,1.68,0,,,
2010-2-26,-0.37,-0.37,0.74,0,,,
2010-3-5,3.46,2.53,1.25,0.002,,,
2010-3-12,1.18,0.36,0.45,0.002,,,
2010-3-19,0.61,-1.18,-0.72,0.002,,,
2010-3-26,0.66,0.03,1.16,0.002,,,
2010-4-1,1.02,-0.33,0.66,0.003,,,
2010-4-9,1.63,1.17,2.22,0.003,,,
2010-4-16,0.1,2.72,-0.55,0.003,,,
2010-4-23,2.19,1.75,1.85,0.003,,,
2010-4-30,-2.62,-0.69,-1.48,0.003,,,
2010-5-7,-6.78,-2.16,-2.21,0.003,,,
2010-5-14,2.8,3.75,0.1,0.003,,,
2010-5-21,-4.49,-2.37,-1.08,0.003,,,
2010-5-28,0.62,1.37,0.98,0.003,,,
2010-6-4,-2.43,-1.42,-2.2,0.003,,,
2010-6-11,2.46,-0.49,-0.13,0.003,,,
2010-6-18,2.41,0.38,0.39,0.003,,,
2010-6-25,-3.52,0.19,-0.39,0.003,,,
2010-7-2,-5.26,-1.52,-2.06,0.004,,,
2010-7-9,5.39,-0.82,1.15,0.004,,,
2010-7-16,-1.36,-1.22,-1.18,0.004,,,
2010-7-23,3.91,2.84,-0.13,0.004,,,
2010-7-30,-0.13,0,0.94,0.004,,,
2010-8-6,1.68,-1.61,-0.67,0.003,,,
2010-8-13,-4.01,-2.48,-0.6,0.003,,,
2010-8-20,-0.42,1.03,-0.96,0.003,,,
2010-8-27,-0.51,1.09,-0.24,0.003,,,
2010-9-3,3.85,0.11,0.77,0.003,,,
2010-9-10,0.31,-1.34,-0.2,0.003,,,
2010-9-17,1.69,1.07,-1.82,0.003,,,
2010-9-24,2.16,1.18,-0.87,0.003,,,
2010-10-1,0.11,1.41,-0.05,0.003,,,
2010-10-8,1.69,0.58,0.16,0.003,,,
2010-10-15,1.01,1.24,-2.12,0.003,,,
2010-10-22,0.46,-0.62,0.28,0.003,,,
2010-10-29,0.24,-0.03,-1.06,0.003,,,
2010-11-5,3.66,0.97,1.51,0.003,,,
2010-11-12,-2.01,0.05,-0.61,0.003,,,
2010-11-19,0.26,0.77,-0.62,0.003,,,
2010-11-26,-0.5,2.01,-1.54,0.003,,,
2010-12-3,3,-0.25,1.09,0.003,,,
2010-12-10,1.48,1.02,1.47,0.003,,,
2010-12-17,0.37,0.11,-0.86,0.003,,,
2010-12-23,1.05,0.07,1.55,0.003,,,
2010-12-31,0.04,-0.6,0.66,0.003,,,
2011-1-7,1.14,-0.61,0.43,0.002,,,
2011-1-14,1.76,0.81,0.39,0.002,,,
2011-1-21,-1.25,-3.16,0.33,0.002,,,
2011-1-28,-0.38,0.68,-0.18,0.002,,,
2011-2-4,2.77,0.44,-0.81,0.003,,,
2011-2-11,1.67,1.05,0.7,0.003,,,
2011-2-18,1.08,0.41,0.59,0.003,,,
2011-2-25,-1.73,0,-0.07,0.003,,,
2011-3-4,0.19,0.31,-0.61,0.002,,,
2011-3-11,-1.43,-1.56,0.95,0.002,,,
2011-3-18,-1.81,0.78,0.1,0.002,,,
2011-3-25,2.94,1.38,-1.15,0.002,,,
2011-4-1,1.59,1.21,-0.38,0.001,,,
2011-4-8,-0.3,-0.28,-0.15,0.001,,,
2011-4-15,-0.69,-0.17,-1.19,0.001,,,
2011-4-21,1.36,0.18,-1.2,0.001,,,
2011-4-29,2.01,0.12,-0.32,0.001,,,
2011-5-6,-1.88,-1.89,-0.35,0,,,
2011-5-13,-0.06,0.57,-1.46,0,,,
2011-5-20,-0.37,-0.71,0.01,0,,,
2011-5-27,0.03,1.01,-0.25,0,,,
2011-6-3,-2.49,-0.93,-0.06,0.001,,,
2011-6-10,-2.38,-0.98,0.06,0.001,,,
2011-6-17,0.01,0.01,0.88,0.001,,,
2011-6-24,0.22,2.36,-1.12,0.001,,,
2011-7-1,5.58,-0.42,-0.36,-0.001,,,
2011-7-8,0.52,1.13,-1.74,-0.001,,,
2011-7-15,-2.15,-0.29,-0.26,-0.001,,,
2011-7-22,2.06,-0.79,-0.05,-0.001,,,
2011-7-29,-4.11,-1.26,0.63,-0.001,,,
2011-8-5,-7.74,-2.25,-0.05,0.002,,,
2011-8-12,-1.59,-1.12,-3.45,0.002,,,
2011-8-19,-5.05,-1.61,1.8,0.002,,,
2011-8-26,5.01,1.13,-1.25,0.002,,,
2011-9-2,-0.21,-0.87,-1.16,0,,,
2011-9-9,-1.56,0.41,-0.25,0,,,
2011-9-16,5.47,0.28,-0.34,0,,,
2011-9-23,-6.77,-1.57,-1.63,0,,,
2011-9-30,-0.62,-0.92,2.41,0,,,
2011-10-7,2.27,0.23,-1.61,0,,,
2011-10-14,6.28,2.2,-0.3,0,,,
2011-10-21,0.95,-1.74,2.22,0,,,
2011-10-28,4.09,2.43,0.39,0,,,
2011-11-4,-2.28,0.82,-1.66,0,,,
2011-11-11,0.61,-1.04,0.54,0,,,
2011-11-18,-3.69,0.45,-0.1,0,,,
2011-11-25,-4.86,-2.4,-0.39,0,,,
2011-12-2,7.68,2.21,0.57,0,,,
2011-12-9,0.86,0.44,0.11,0,,,
2011-12-16,-2.88,-0.4,0.63,0,,,
2011-12-23,3.66,-0.52,1.48,0,,,
2011-12-30,-0.62,-0.19,-0.44,0,,,
2012-1-6,1.7,-0.58,0.84,0,,,
2012-1-13,1.18,0.88,0.17,0,,,
2012-1-20,2.13,0.58,-0.18,0,,,
2012-1-27,0.33,1.81,-1.7,0,,,
2012-2-3,2.5,1.64,0.33,0.001,,,
2012-2-10,-0.23,-1.62,-0.36,0.001,,,
2012-2-17,1.6,0.34,0.37,0.001,,,
2012-2-24,0.26,-0.58,-1.01,0.001,,,
2012-3-2,0.05,-3.38,0.44,0.001,,,
2012-3-9,0.32,1.67,0.06,0.001,,,
2012-3-16,2.29,-0.76,1.54,0.001,,,
2012-3-23,-0.44,0.61,-0.31,0.001,,,
2012-3-30,0.74,-0.64,-0.39,0.001,,,
2012-4-5,-0.71,-0.64,-0.69,0.001,,,
2012-4-13,-2.05,-0.18,-0.16,0.001,,,
2012-4-20,0.56,0.18,0.43,0.001,,,
2012-4-27,1.87,0.67,-0.06,0.001,,,
2012-5-4,-2.68,-1.58,0.11,0.002,,,
2012-5-11,-0.99,0.83,0.18,0.002,,,
2012-5-18,-4.47,-0.48,-0.13,0.002,,,
2012-5-25,1.95,0.5,-1.06,0.002,,,
2012-6-1,-3.15,-0.53,0.49,0.001,,,
2012-6-8,3.73,0.15,-0.15,0.001,,,
2012-6-15,1.07,-1.05,0.67,0.001,,,
2012-6-22,-0.35,1.15,-0.19,0.001,,,
2012-6-29,2.1,0.91,0.03,0.001,,,
2012-7-6,-0.26,1.56,-0.47,0.001,,,
2012-7-13,-0.05,-1.19,0.57,0.001,,,
2012-7-20,0.26,-1.33,-1.7,0.001,,,
2012-7-27,1.45,-1.26,0.88,0.001,,,
2012-8-3,0.17,-1.24,0.94,0.001,,,
2012-8-10,1.37,0.71,0.86,0.001,,,
2012-8-17,1.13,1.2,-0.17,0.001,,,
2012-8-24,-0.55,-1.07,0.24,0.001,,,
2012-8-31,-0.18,0.43,-0.09,0.001,,,
2012-9-7,2.55,0.83,1.3,0.002,,,
2012-9-14,2.09,0.61,1.87,0.002,,,
2012-9-21,-0.48,-0.27,-1.17,0.002,,,
2012-9-28,-1.41,-0.66,-0.4,0.002,,,
2012-10-5,1.46,-1.13,1.49,0.002,,,
2012-10-12,-2.21,-0.13,0.59,0.002,,,
2012-10-19,0.26,-1.24,1.79,0.002,,,
2012-10-26,-1.37,0.82,-0.39,0.002,,,
2012-11-2,0.27,0.12,0.85,0.002,,,
2012-11-9,-2.33,0.09,-0.88,0.002,,,
2012-11-16,-1.46,-1.07,-0.29,0.002,,,
2012-11-23,3.72,0.42,0.16,0.002,,,
2012-11-30,0.83,1.57,-0.41,0.002,,,
2012-12-7,0.13,-0.62,1.34,0.003,,,
2012-12-14,-0.14,0.56,0.84,0.003,,,
2012-12-21,1.4,1.06,1.3,0.003,,,
2012-12-28,-1.88,0.09,0.16,0.003,,,
2013-1-4,4.8,0.85,0.82,0,,,
2013-1-11,0.44,-0.33,-0.78,0,,,
2013-1-18,0.98,0.48,-0.05,0,,,
2013-1-25,1.27,0.08,0.1,0,,,
2013-2-1,0.73,-0.2,1.06,0.001,,,
2013-2-8,0.45,0.01,-0.04,0.001,,,
2013-2-15,0.23,0.65,1.13,0.001,,,
2013-2-22,-0.36,-0.5,-0.59,0.001,,,
2013-3-1,0.2,-0.55,-1.04,0.001,,,
2013-3-8,2.47,0.51,0.69,0.001,,,
2013-3-15,0.67,0.29,0.99,0.001,,,
2013-3-22,-0.21,0.05,-0.78,0.001,,,
2013-3-28,0.85,-0.19,-0.81,0.001,,,
2013-4-5,-1.39,-1.99,0.09,0.001,,,
2013-4-12,2.38,0.04,-0.23,0.001,,,
2013-4-19,-2.24,-1.4,-0.62,0.001,,,
2013-4-26,1.92,0.53,1.53,0.001,,,
2013-5-3,2.05,0.29,-0.11,0,,,
2013-5-10,1.44,0.68,0.61,0,,,
2013-5-17,2.14,-0.11,0.67,0,,,
2013-5-24,-1.07,0.16,0.21,0,,,
2013-5-31,-0.76,1.09,1.04,0,,,
2013-6-7,0.73,-0.4,-0.21,0,,,
2013-6-14,-0.93,0.51,-0.57,0,,,
2013-6-21,-2.08,0.59,0.33,0,,,
2013-6-28,1.11,0.48,0.27,0,,,
2013-7-5,1.84,1.41,0.18,0,,,
2013-7-12,3.02,0.1,-0.54,0,,,
2013-7-19,0.72,0.41,1.85,0,,,
2013-7-26,0.12,-0.17,-0.24,0,,,
2013-8-2,1.44,-0.12,-1.01,0,,,
2013-8-9,-0.98,-0.03,-0.44,0,,,
2013-8-16,-2.04,0.1,0.39,0,,,
2013-8-23,0.61,0.92,-1.19,0,,,
2013-8-30,-1.87,-0.51,-1.32,0,,,
2013-9-6,1.49,0.26,0.31,0,,,
2013-9-13,2.16,0.27,-0.35,0,,,
2013-9-20,1.36,0.56,-0.61,0,,,
2013-9-27,-0.77,1.2,-0.56,0,,,
2013-10-4,0.17,0.33,0.15,0.001,,,
2013-10-11,0.55,-0.26,1.39,0.001,,,
2013-10-18,2.51,0.22,0.03,0.001,,,
2013-10-25,0.72,-0.18,-0.35,0.001,,,
2013-11-1,-0.12,-1.73,0.17,0.001,,,
2013-11-8,0.47,0.08,0.71,0.001,,,
2013-11-15,1.71,-0.02,-0.94,0.001,,,
2013-11-22,0.36,0.17,0.81,0.001,,,
2013-11-29,0.35,1.64,-0.57,0.001,,,
2013-12-6,-0.07,-0.84,-0.11,0.001,,,
2013-12-13,-1.46,-0.72,0.49,0.001,,,
2013-12-20,2.56,1.05,-0.41,0.001,,,
2013-12-27,1.35,0.22,-0.03,0.001,,,
2014-1-3,-0.42,-0.06,-0.1,0.001,,,
2014-1-10,0.67,0.54,-1.42,0.001,,,
2014-1-17,-0.12,0.64,-0.7,0.001,,,
2014-1-24,-2.6,0.47,-0.08,0.001,,,
2014-1-31,-0.44,-0.85,-0.11,0.001,,,
2014-2-7,0.56,-2.18,0.01,0.001,,,
2014-2-14,2.53,0.55,0,0.001,,,
2014-2-21,0.14,1.56,-0.82,0.001,,,
2014-2-28,1.37,0.44,0.41,0.001,,,
2014-3-7,1.17,0.48,1.61,0.001,,,
2014-3-14,-1.94,0.2,-0.08,0.001,,,
2014-3-21,1.28,-0.55,2.07,0.001,,,
2014-3-28,-1.01,-2.93,1.64,0.001,,,
2014-4-4,0.33,-0.31,1.11,0,,,
2014-4-11,-2.87,-0.79,0.01,0,,,
2014-4-17,2.68,-0.53,0.19,0,,,
2014-4-25,-0.34,-1.09,0.55,0,,,
2014-5-2,0.99,-0.54,-0.63,0,,,
2014-5-9,-0.47,-1.96,0.75,0,,,
2014-5-16,0,-0.2,-1.21,0,,,
2014-5-23,1.39,0.81,-0.23,0,,,
2014-5-30,1.18,-0.51,0.25,0,,,
2014-6-6,1.6,1.05,0.32,0.001,,,
2014-6-13,-0.52,0.73,-0.65,0.001,,,
2014-6-20,1.51,0.77,-0.31,0.001,,,
2014-6-27,-0.06,0.18,-0.23,0.001,,,
2014-7-3,1.38,0.5,-0.39,0,,,
2014-7-11,-1.35,-3.05,0.6,0,,,
2014-7-18,0.37,-1.44,0.89,0,,,
2014-7-25,-0.01,-0.49,-0.83,0,,,
2014-8-1,-2.63,0.26,-0.25,0,,,
2014-8-8,0.51,0.99,-0.56,0,,,
2014-8-15,1.31,-0.48,-0.38,0,,,
2014-8-22,1.79,0,0.38,0,,,
2014-8-29,0.89,0.12,0.01,0,,,
2014-9-5,0.18,-0.5,-0.04,0,,,
2014-9-12,-0.86,0.54,-0.51,0,,,
2014-9-19,0.9,-2.34,0.41,0,,,
2014-9-26,-1.58,-0.77,-0.89,0,,,
2014-10-3,-0.79,-0.4,-0.7,0,,,
2014-10-10,-3.59,-1.41,0.62,0,,,
2014-10-17,-0.51,3.57,-0.89,0,,,
2014-10-24,4.06,-0.76,-0.68,0,,,
2014-10-31,2.87,2.28,-0.14,0,,,
2014-11-7,0.69,-0.74,0.67,0,,,
2014-11-14,0.54,-0.08,-1.27,0,,,
2014-11-21,1.05,-1.4,-0.24,0,,,
2014-11-28,0.26,0.13,-2.02,0,,,
2014-12-5,0.29,0.13,1.31,0,,,
2014-12-12,-3.44,0.86,-0.87,0,,,
2014-12-19,3.47,0.16,0.57,0,,,
2014-12-26,1.03,0.64,0.55,0,,,
2015-1-2,-1.38,0.1,0.56,0,,,
2015-1-9,-0.78,-0.39,-2.31,0,,,
2015-1-16,-1.32,0.41,-0.32,0,,,
2015-1-23,1.64,-0.68,-0.41,0,,,
2015-1-30,-2.5,0.59,-0.55,0,,,
2015-2-6,3.32,0.21,1.54,0,,,
2015-2-13,2.1,-0.48,-1.33,0,,,
2015-2-20,0.8,0.16,-1.41,0,,,
2015-2-27,-0.19,0.64,-0.49,0,,,
2015-3-6,-1.36,0.59,-0.52,0,,,
2015-3-13,-0.61,1.66,0.49,0,,,
2015-3-20,2.59,0.01,-1.03,0,,,
2015-3-27,-2.16,0.4,0.23,0,,,
2015-4-2,0.45,0.7,1.08,0.001,,,
2015-4-10,1.67,-0.71,-1.37,0.001,,,
2015-4-17,-1.02,0.02,0.74,0.001,,,
2015-4-24,1.77,-0.25,-1.39,0.001,,,
2015-5-1,-0.77,-2.59,2.42,0,,,
2015-5-8,0.41,-0.03,0.11,0,,,
2015-5-15,0.41,0.32,-0.47,0,,,
2015-5-22,0.32,0.42,-0.13,0,,,
2015-5-29,-0.79,0.42,-0.17,0,,,
2015-6-5,-0.29,1.85,-0.09,0,,,
2015-6-12,0.11,0.12,0.61,0,,,
2015-6-19,0.83,0.67,-1.39,0,,,
2015-6-26,-0.35,0.34,0.62,0,,,
2015-7-2,-1.33,-1.57,-0.69,0,,,
2015-7-10,-0.02,0.11,-1.32,0,,,
2015-7-17,2.27,-1.47,-1.7,0,,,
2015-7-24,-2.33,-1.44,-0.4,0,,,
2015-7-31,1.19,0.01,-0.75,0,,,
2015-8-7,-1.36,-1.19,0.89,0.001,,,
2015-8-14,0.69,-0.33,1.26,0.001,,,
2015-8-21,-5.69,1.2,0,0.001,,,
2015-8-28,1.07,0.01,-0.79,0.001,,,
2015-9-4,-3.08,1.47,0.13,0,,,
2015-9-11,2.09,-0.47,-1.53,0,,,
2015-9-18,-0.15,1.18,-1.77,0,,,
2015-9-25,-1.77,-2.7,3.63,0,,,
